,Show,EpId,ClipId,filename,Interjection,um_label_1
41,HeStutters,1,1,HeStutters_1_1.wav,1,
43,HeStutters,1,3,HeStutters_1_3.wav,3,1
45,HeStutters,1,5,HeStutters_1_5.wav,1,
54,HeStutters,1,14,HeStutters_1_14.wav,3,
77,HeStutters,1,37,HeStutters_1_37.wav,1,
119,HeStutters,1,79,HeStutters_1_79.wav,1,
120,HeStutters,1,80,HeStutters_1_80.wav,1,
149,HeStutters,1,109,HeStutters_1_109.wav,3,1
151,HeStutters,1,111,HeStutters_1_111.wav,2,
158,HeStutters,1,118,HeStutters_1_118.wav,3,
161,HeStutters,1,121,HeStutters_1_121.wav,3,
166,HeStutters,1,126,HeStutters_1_126.wav,1,
173,HeStutters,1,133,HeStutters_1_133.wav,2,1
175,HeStutters,1,135,HeStutters_1_135.wav,3,
183,HeStutters,1,143,HeStutters_1_143.wav,3,
186,HeStutters,1,146,HeStutters_1_146.wav,1,
197,HeStutters,1,157,HeStutters_1_157.wav,1,
200,HeStutters,1,160,HeStutters_1_160.wav,1,1
204,HeStutters,1,164,HeStutters_1_164.wav,1,
208,HeStutters,1,168,HeStutters_1_168.wav,2,
212,HeStutters,1,172,HeStutters_1_172.wav,2,
218,HeStutters,1,178,HeStutters_1_178.wav,3,
219,HeStutters,1,179,HeStutters_1_179.wav,1,
220,HeStutters,1,180,HeStutters_1_180.wav,1,
228,HeStutters,1,188,HeStutters_1_188.wav,1,
230,HeStutters,1,190,HeStutters_1_190.wav,2,
238,HeStutters,1,198,HeStutters_1_198.wav,1,
239,HeStutters,1,199,HeStutters_1_199.wav,2,
246,HeStutters,1,206,HeStutters_1_206.wav,1,
247,HeStutters,1,207,HeStutters_1_207.wav,1,
255,HeStutters,1,215,HeStutters_1_215.wav,3,1
256,HeStutters,1,216,HeStutters_1_216.wav,2,1
260,HeStutters,1,220,HeStutters_1_220.wav,1,
262,HeStutters,1,222,HeStutters_1_222.wav,2,
264,HeStutters,1,224,HeStutters_1_224.wav,2,
271,HeStutters,1,231,HeStutters_1_231.wav,1,
272,HeStutters,1,232,HeStutters_1_232.wav,3,
273,HeStutters,1,233,HeStutters_1_233.wav,3,1
277,HeStutters,1,237,HeStutters_1_237.wav,1,
279,HeStutters,1,239,HeStutters_1_239.wav,2,
280,HeStutters,1,240,HeStutters_1_240.wav,2,1
